customerID,summary
7590-VHVEG,"Customer ID: 7590-VHVEG. A female customer, non-senior, uses dsl internet with month-to-month contract. Pays $29.85 monthly, total charges $29.85. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
5575-GNVDE,"Customer ID: 5575-GNVDE. A male customer, non-senior, uses dsl internet with one year contract. Pays $56.95 monthly, total charges $1889.5. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
3668-QPYBK,"Customer ID: 3668-QPYBK. A male customer, non-senior, uses dsl internet with month-to-month contract. Pays $53.85 monthly, total charges $108.15. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
7795-CFOCW,"Customer ID: 7795-CFOCW. A male customer, non-senior, uses dsl internet with one year contract. Pays $42.3 monthly, total charges $1840.75. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
9237-HQITU,"Customer ID: 9237-HQITU. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $70.7 monthly, total charges $151.65. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
9305-CDSKC,"Customer ID: 9305-CDSKC. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $99.65 monthly, total charges $820.5. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
1452-KIOVK,"Customer ID: 1452-KIOVK. A male customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $89.1 monthly, total charges $1949.4. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
6713-OKOMC,"Customer ID: 6713-OKOMC. A female customer, non-senior, uses dsl internet with month-to-month contract. Pays $29.75 monthly, total charges $301.9. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
7892-POOKP,"Customer ID: 7892-POOKP. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $104.8 monthly, total charges $3046.05. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
6388-TABGU,"Customer ID: 6388-TABGU. A male customer, non-senior, uses dsl internet with one year contract. Pays $56.15 monthly, total charges $3487.95. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
9763-GRSKD,"Customer ID: 9763-GRSKD. A male customer, non-senior, uses dsl internet with month-to-month contract. Pays $49.95 monthly, total charges $587.45. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
7469-LKBCI,"Customer ID: 7469-LKBCI. A male customer, non-senior, uses no internet with two year contract. Pays $18.95 monthly, total charges $326.8. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
8091-TTVAX,"Customer ID: 8091-TTVAX. A male customer, non-senior, uses fiber optic internet with one year contract. Pays $100.35 monthly, total charges $5681.1. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
0280-XJGEX,"Customer ID: 0280-XJGEX. A male customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $103.7 monthly, total charges $5036.3. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
5129-JLPIS,"Customer ID: 5129-JLPIS. A male customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $105.5 monthly, total charges $2686.05. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
3655-SNQYZ,"Customer ID: 3655-SNQYZ. A female customer, non-senior, uses fiber optic internet with two year contract. Pays $113.25 monthly, total charges $7895.15. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
8191-XWSZG,"Customer ID: 8191-XWSZG. A female customer, non-senior, uses no internet with one year contract. Pays $20.65 monthly, total charges $1022.95. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
9959-WOFKT,"Customer ID: 9959-WOFKT. A male customer, non-senior, uses fiber optic internet with two year contract. Pays $106.7 monthly, total charges $7382.25. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
4190-MFLUW,"Customer ID: 4190-MFLUW. A female customer, non-senior, uses dsl internet with month-to-month contract. Pays $55.2 monthly, total charges $528.35. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
4183-MYFRB,"Customer ID: 4183-MYFRB. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $90.05 monthly, total charges $1862.9. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
8779-QRDMV,"Customer ID: 8779-QRDMV. A male customer, senior, uses dsl internet with month-to-month contract. Pays $39.65 monthly, total charges $39.65. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
1680-VDCWW,"Customer ID: 1680-VDCWW. A male customer, non-senior, uses no internet with one year contract. Pays $19.8 monthly, total charges $202.25. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
1066-JKSGK,"Customer ID: 1066-JKSGK. A male customer, non-senior, uses no internet with month-to-month contract. Pays $20.15 monthly, total charges $20.15. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
3638-WEABW,"Customer ID: 3638-WEABW. A female customer, non-senior, uses dsl internet with two year contract. Pays $59.9 monthly, total charges $3505.1. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
6322-HRPFA,"Customer ID: 6322-HRPFA. A male customer, non-senior, uses dsl internet with month-to-month contract. Pays $59.6 monthly, total charges $2970.3. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
6865-JZNKO,"Customer ID: 6865-JZNKO. A female customer, non-senior, uses dsl internet with month-to-month contract. Pays $55.3 monthly, total charges $1530.6. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
6467-CHFZW,"Customer ID: 6467-CHFZW. A male customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $99.35 monthly, total charges $4749.15. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
8665-UTDHZ,"Customer ID: 8665-UTDHZ. A male customer, non-senior, uses dsl internet with month-to-month contract. Pays $30.2 monthly, total charges $30.2. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
5248-YGIJN,"Customer ID: 5248-YGIJN. A male customer, non-senior, uses dsl internet with two year contract. Pays $90.25 monthly, total charges $6369.45. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
8773-HHUOZ,"Customer ID: 8773-HHUOZ. A female customer, non-senior, uses dsl internet with month-to-month contract. Pays $64.7 monthly, total charges $1093.1. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
3841-NFECX,"Customer ID: 3841-NFECX. A female customer, senior, uses fiber optic internet with two year contract. Pays $96.35 monthly, total charges $6766.95. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
4929-XIHVW,"Customer ID: 4929-XIHVW. A male customer, senior, uses fiber optic internet with month-to-month contract. Pays $95.5 monthly, total charges $181.65. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
6827-IEAUQ,"Customer ID: 6827-IEAUQ. A female customer, non-senior, uses dsl internet with one year contract. Pays $66.15 monthly, total charges $1874.45. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
7310-EGVHZ,"Customer ID: 7310-EGVHZ. A male customer, non-senior, uses no internet with month-to-month contract. Pays $20.2 monthly, total charges $20.2. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
3413-BMNZE,"Customer ID: 3413-BMNZE. A male customer, senior, uses dsl internet with month-to-month contract. Pays $45.25 monthly, total charges $45.25. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
6234-RAAPL,"Customer ID: 6234-RAAPL. A female customer, non-senior, uses fiber optic internet with two year contract. Pays $99.9 monthly, total charges $7251.7. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
6047-YHPVI,"Customer ID: 6047-YHPVI. A male customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $69.7 monthly, total charges $316.9. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
6572-ADKRS,"Customer ID: 6572-ADKRS. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $74.8 monthly, total charges $3548.3. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
5380-WJKOV,"Customer ID: 5380-WJKOV. A male customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $106.35 monthly, total charges $3549.25. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
8168-UQWWF,"Customer ID: 8168-UQWWF. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $97.85 monthly, total charges $1105.4. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
8865-TNMNX,"Customer ID: 8865-TNMNX. A male customer, non-senior, uses dsl internet with one year contract. Pays $49.55 monthly, total charges $475.7. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
9489-DEDVP,"Customer ID: 9489-DEDVP. A female customer, non-senior, uses dsl internet with two year contract. Pays $69.2 monthly, total charges $4872.35. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
9867-JCZSP,"Customer ID: 9867-JCZSP. A female customer, non-senior, uses no internet with one year contract. Pays $20.75 monthly, total charges $418.25. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
4671-VJLCL,"Customer ID: 4671-VJLCL. A female customer, non-senior, uses dsl internet with two year contract. Pays $79.85 monthly, total charges $4861.45. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
4080-IIARD,"Customer ID: 4080-IIARD. A female customer, non-senior, uses dsl internet with month-to-month contract. Pays $76.2 monthly, total charges $981.45. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
3714-NTNFO,"Customer ID: 3714-NTNFO. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $84.5 monthly, total charges $3906.7. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
5948-UJZLF,"Customer ID: 5948-UJZLF. A male customer, non-senior, uses dsl internet with month-to-month contract. Pays $49.25 monthly, total charges $97.0. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
7760-OYPDY,"Customer ID: 7760-OYPDY. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $80.65 monthly, total charges $144.15. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: YES."
7639-LIAYI,"Customer ID: 7639-LIAYI. A male customer, non-senior, uses dsl internet with two year contract. Pays $79.75 monthly, total charges $4217.8. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
2954-PIBKO,"Customer ID: 2954-PIBKO. A female customer, non-senior, uses dsl internet with two year contract. Pays $64.15 monthly, total charges $4254.1. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
8012-SOUDQ,"Customer ID: 8012-SOUDQ. A female customer, senior, uses fiber optic internet with month-to-month contract. Pays $90.25 monthly, total charges $3838.75. Sentiment from support: Negative. Risk of churn (based on sentiment): HIGH. Actual churn: NO."
9420-LOJKX,"Customer ID: 9420-LOJKX. A female customer, non-senior, uses fiber optic internet with month-to-month contract. Pays $99.1 monthly, total charges $1426.4. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: YES."
6575-SUVOI,"Customer ID: 6575-SUVOI. A female customer, senior, uses dsl internet with month-to-month contract. Pays $69.5 monthly, total charges $1752.65. Sentiment from support: Positive. Risk of churn (based on sentiment): LOW. Actual churn: NO."
